FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TOR_estimatedOffensiveRating,TOR_offensiveRating,TOR_estimatedDefensiveRating,TOR_defensiveRating,TOR_estimatedNetRating,TOR_netRating,TOR_assistPercentage,TOR_assistToTurnover,TOR_assistRatio,TOR_offensiveReboundPercentage,TOR_defensiveReboundPercentage,TOR_reboundPercentage,TOR_estimatedTeamTurnoverPercentage,TOR_turnoverRatio,TOR_effectiveFieldGoalPercentage,TOR_trueShootingPercentage,TOR_usagePercentage,TOR_estimatedUsagePercentage,TOR_estimatedPace,TOR_pace,TOR_pacePer40,TOR_possessions,TOR_PIE,OPP_estimatedOffensiveRating,OPP_offensiveRating,OPP_estimatedDefensiveRating,OPP_defensiveRating,OPP_estimatedNetRating,OPP_netRating,OPP_assistPercentage,OPP_assistToTurnover,OPP_assistRatio,OPP_offensiveReboundPercentage,OPP_defensiveReboundPercentage,OPP_reboundPercentage,OPP_estimatedTeamTurnoverPercentage,OPP_turnoverRatio,OPP_effectiveFieldGoalPercentage,OPP_trueShootingPercentage,OPP_usagePercentage,OPP_estimatedUsagePercentage,OPP_estimatedPace,OPP_pace,OPP_pacePer40,OPP_possessions,OPP_PIE
43,91,0.473,16,43,0.372,16,19,0.842,9,34,43,29,9,6,20,18,118,106.9,111.3,120.1,119.6,-13.2,-8.3,0.674,1.45,19.5,0.306,0.636,0.481,18.123,18.9,0.56,0.594,1.0,0.199,98.25,96.45,80.38,106.0,0.464,120.1,119.6,106.9,111.3,13.2,8.3,0.633,2.07,19.9,0.364,0.694,0.519,14.071,14.0,0.553,0.584,1.0,0.197,98.25,96.45,80.38,107.0,0.536
43,94,0.457,16,44,0.364,11,15,0.733,9,27,36,30,5,2,9,20,113,112.3,114.1,119.0,121.2,-6.7,-7.1,0.698,3.33,21.5,0.226,0.651,0.417,8.946,9.1,0.543,0.562,1.0,0.199,100.7,99.0,82.5,99.0,0.436,119.0,121.2,112.3,114.1,6.7,7.1,0.659,1.81,20.7,0.349,0.774,0.583,15.873,16.2,0.599,0.633,1.0,0.197,100.7,99.0,82.5,99.0,0.564
36,93,0.387,13,44,0.295,13,22,0.591,11,34,45,21,6,7,11,11,98,94.5,93.3,133.9,135.0,-39.3,-41.6,0.583,1.75,15.5,0.213,0.667,0.426,11.574,11.4,0.457,0.477,1.0,0.197,103.76,104.0,86.67,105.0,0.333,133.9,135.0,94.5,93.3,39.3,41.6,0.717,3.45,23.9,0.333,0.787,0.574,10.593,10.7,0.619,0.633,1.0,0.2,103.76,104.0,86.67,103.0,0.667
42,91,0.462,13,38,0.342,14,18,0.778,11,34,45,27,8,6,14,16,111,106.8,106.7,100.9,101.9,5.9,4.8,0.643,1.69,19.0,0.255,0.735,0.49,15.396,15.4,0.533,0.561,1.0,0.197,104.48,104.0,86.67,104.0,0.52,100.9,101.9,106.8,106.7,-5.9,-4.8,0.558,1.41,17.1,0.265,0.745,0.51,16.184,16.3,0.511,0.535,1.0,0.196,104.48,104.0,86.67,104.0,0.48
41,96,0.427,12,45,0.267,11,17,0.647,11,36,47,31,9,2,14,14,105,98.6,101.0,114.4,114.3,-15.8,-13.3,0.756,2.21,20.9,0.25,0.673,0.459,13.148,13.5,0.49,0.507,1.0,0.201,105.7,104.5,87.08,104.0,0.449,114.4,114.3,98.6,101.0,15.8,13.3,0.591,1.86,17.8,0.327,0.75,0.541,13.343,13.3,0.541,0.566,1.0,0.2,105.7,104.5,87.08,105.0,0.551
46,98,0.469,13,35,0.371,20,30,0.667,12,32,44,34,11,3,11,21,125,112.4,116.8,123.4,127.1,-11.0,-10.3,0.739,2.83,21.6,0.31,0.688,0.481,10.791,11.2,0.536,0.562,1.0,0.198,110.72,107.0,89.17,107.0,0.449,123.4,127.1,112.4,116.8,11.0,10.3,0.615,2.0,20.9,0.313,0.69,0.519,14.514,15.0,0.62,0.646,1.0,0.195,110.72,107.0,89.17,107.0,0.551
53,96,0.552,12,28,0.429,12,17,0.706,12,33,45,35,4,7,11,17,130,125.6,127.5,113.9,120.8,11.7,6.7,0.66,2.92,23.3,0.34,0.625,0.495,11.596,11.8,0.615,0.628,1.0,0.197,105.3,101.5,84.58,102.0,0.557,113.9,120.8,125.6,127.5,-11.7,-6.7,0.587,2.7,18.4,0.375,0.66,0.505,9.335,9.9,0.525,0.554,1.0,0.201,105.3,101.5,84.58,101.0,0.443
50,102,0.49,15,39,0.385,8,8,1.0,11,36,47,37,3,7,11,20,123,115.5,121.8,114.6,119.8,0.8,2.0,0.74,3.08,23.9,0.308,0.578,0.457,11.265,11.9,0.564,0.583,1.0,0.194,106.04,101.0,84.17,101.0,0.525,114.6,119.8,115.5,121.8,-0.8,-2.0,0.587,3.0,17.7,0.422,0.692,0.543,8.526,8.9,0.491,0.519,1.0,0.201,106.04,101.0,84.17,101.0,0.475
41,84,0.488,14,31,0.452,25,30,0.833,7,38,45,24,10,6,10,18,121,119.6,118.6,89.7,91.2,29.9,27.5,0.585,2.18,18.2,0.2,0.796,0.511,10.87,10.8,0.571,0.622,1.0,0.2,102.44,102.0,85.0,102.0,0.675,89.7,91.2,119.6,118.6,-29.9,-27.5,0.576,0.95,14.8,0.204,0.8,0.489,19.29,19.6,0.481,0.519,1.0,0.199,102.44,102.0,85.0,102.0,0.325
50,98,0.51,6,26,0.231,19,26,0.731,15,41,56,30,6,7,15,20,125,114.2,119.0,119.7,119.8,-5.5,-0.8,0.6,2.0,19.4,0.365,0.8,0.589,13.706,14.3,0.541,0.571,1.0,0.198,107.78,105.5,87.92,105.0,0.502,119.7,119.8,114.2,119.0,5.5,0.8,0.681,4.0,21.8,0.2,0.635,0.411,7.539,7.5,0.572,0.593,1.0,0.198,107.78,105.5,87.92,106.0,0.498
